X Gaze Data, Y Gaze Data, Time 
979,431,144617042
979,431,144617067
979,431,144617076
979,432,144617086
979,431,144617098
979,430,144617109
979,429,144617119
979,429,144617130
975,430,144617144
975,430,144617152
973,432,144617164
975,431,144617191
975,432,144617196
975,432,144617209
975,433,144617222
975,435,144617234
974,434,144617243
974,434,144617264
974,434,144617279
974,435,144617280
970,435,144617285
940,433,144617301
922,432,144617309
919,435,144617319
917,435,144617332
913,435,144617342
913,435,144617352
911,435,144617363
908,435,144617377
906,435,144617385
904,434,144617396
904,433,144617424
905,431,144617430
905,431,144617443
905,430,144617452
904,430,144617463
904,430,144617475
904,429,144617487
904,429,144617496
904,430,144617509
904,432,144617519
904,433,144617529
904,434,144617542
904,434,144617552
902,436,144617567
902,436,144617575
901,436,144617585
902,436,144617596
903,434,144617608
903,431,144617619
903,429,144617630
898,434,144617642
896,436,144617652
892,446,144617663
890,448,144617675
890,448,144617685
887,447,144617696
887,447,144617708
887,447,144617724
886,449,144617730
885,453,144617742
886,452,144617755
885,452,144617763
883,453,144617775
881,453,144617785
882,453,144617801
882,453,144617808
882,454,144617819
881,453,144617829
882,453,144617842
884,451,144617852
886,450,144617864
887,449,144617875
887,450,144617885
886,450,144617910
886,450,144617918
886,451,144617929
886,453,144617941
886,453,144617956
886,454,144617963
886,455,144617975
885,454,144617987
884,453,144617996
884,453,144618008
883,452,144618032
883,450,144618041
883,451,144618051
883,451,144618064
881,452,144618075
881,452,144618085
882,453,144618110
887,453,144618118
887,453,144618129
885,451,144618143
885,450,144618151
886,449,144618163
886,448,144618175
886,448,144618189
885,448,144618195
884,447,144618208
881,449,144618218
882,448,144618229
882,449,144618241
878,451,144618267
879,452,144618275
879,453,144618285
879,453,144618298
878,451,144618308
877,450,144618318
878,451,144618329
878,452,144618345
880,458,144618351
881,460,144618362
880,459,144618376
880,459,144618385
880,459,144618396
881,459,144618423
882,456,144618429
881,456,144618441
882,457,144618451
882,459,144618462
882,459,144618474
880,457,144618500
880,457,144618508
879,456,144618518
880,456,144618529
880,456,144618541
879,457,144618551
878,456,144618562
878,457,144618575
879,458,144618585
879,458,144618595
880,458,144618609
879,458,144618618
880,458,144618629
879,458,144618655
879,458,144618662
879,458,144618674
879,458,144618685
880,458,144618701
881,457,144618708
881,457,144618718
882,458,144618732
884,458,144618741
884,458,144618751
885,457,144618763
885,457,144618775
885,457,144618785
885,458,144618795
884,458,144618810
883,459,144618818
883,459,144618829
882,460,144618841
881,459,144618856
880,459,144618862
879,457,144618874
877,457,144618884
876,458,144618895
876,458,144618908
877,459,144618918
880,459,144618929
881,458,144618941
882,458,144618951
883,457,144618965
881,456,144618974
882,456,144618984
881,456,144618997
882,456,144619007
883,456,144619017
883,457,144619028
885,458,144619041
885,456,144619051
886,455,144619062
885,457,144619074
881,464,144619084
881,464,144619095
880,466,144619122
879,476,144619128
880,476,144619140
883,480,144619153
883,480,144619162
884,483,144619174
883,482,144619185
883,484,144619195
883,485,144619207
882,487,144619231
882,489,144619241
884,490,144619251
885,489,144619262
885,489,144619277
884,491,144619284
883,494,144619295
883,497,144619309
884,499,144619317
884,499,144619328
884,499,144619355
883,499,144619362
883,499,144619374
884,500,144619386
884,502,144619394
884,503,144619406
885,503,144619416
885,505,144619428
885,506,144619440
884,508,144619463
884,511,144619474
884,511,144619483
883,509,144619495
881,509,144619510
879,508,144619517
