X Gaze Data, Y Gaze Data, Time 
842,408,144573704
846,409,144573713
844,411,144573722
832,412,144573735
806,427,144573746
806,426,144573755
803,424,144573782
795,440,144573788
795,445,144573801
800,435,144573814
802,432,144573822
803,434,144573834
802,436,144573860
795,456,144573861
783,495,144573867
788,481,144573879
787,482,144573892
795,453,144573901
783,457,144573912
782,455,144573922
783,451,144573938
797,434,144573946
797,433,144573970
779,430,144573981
778,430,144573989
772,430,144574016
789,435,144574022
800,432,144574037
798,420,144574047
799,420,144574064
799,421,144574070
805,429,144574093
801,438,144574102
820,438,144574113
824,439,144574125
809,452,144574134
804,446,144574145
803,445,144574157
807,453,144574168
823,444,144574179
824,443,144574188
822,425,144574201
817,426,144574212
816,426,144574222
812,435,144574234
813,438,144574245
812,439,144574255
809,437,144574267
809,435,144574281
809,435,144574288
815,437,144574301
820,447,144574327
814,453,144574334
813,454,144574346
813,454,144574359
814,450,144574368
814,450,144574379
817,448,144574390
822,447,144574400
825,448,144574412
826,450,144574436
832,446,144574445
831,438,144574454
834,441,144574467
837,448,144574479
838,452,144574488
846,469,144574500
849,469,144574514
851,469,144574522
853,465,144574534
854,465,144574561
878,473,144574567
887,470,144574579
888,470,144574594
888,468,144574601
884,466,144574612
885,463,144574622
886,455,144574634
888,453,144574645
888,452,144574655
888,452,144574669
890,462,144574679
890,462,144574688
890,461,144574701
891,462,144574712
891,461,144574721
886,460,144574749
893,462,144574754
899,463,144574767
905,464,144574794
895,461,144574800
892,458,144574812
890,458,144574824
889,457,144574833
883,456,144574845
881,455,144574855
882,455,144574867
889,462,144574879
889,463,144574888
890,468,144574902
889,468,144574912
889,468,144574921
883,468,144574948
873,470,144574954
871,473,144574967
871,471,144574979
871,470,144574988
875,469,144575000
875,471,144575012
875,472,144575021
869,477,144575033
873,475,144575045
880,475,144575057
885,471,144575067
885,456,144575078
885,455,144575104
892,463,144575112
893,463,144575121
888,463,144575134
888,463,144575145
886,463,144575154
887,466,144575182
895,469,144575188
896,468,144575200
896,466,144575214
896,465,144575221
899,469,144575233
897,467,144575246
897,467,144575254
895,463,144575267
895,459,144575293
895,455,144575300
893,454,144575312
893,454,144575324
891,453,144575334
888,453,144575345
886,453,144575355
885,454,144575367
886,455,144575378
884,456,144575401
882,463,144575412
882,464,144575421
883,464,144575433
884,465,144575447
886,466,144575454
886,466,144575467
887,467,144575479
885,467,144575488
884,468,144575500
882,468,144575511
884,467,144575527
887,468,144575533
889,468,144575545
892,469,144575554
892,468,144575566
887,471,144575578
886,471,144575589
887,470,144575599
890,472,144575611
890,472,144575621
894,473,144575636
895,473,144575645
894,473,144575657
894,474,144575668
894,473,144575678
893,473,144575687
892,471,144575715
855,549,144575721
849,566,144575733
857,541,144575746
860,531,144575754
870,517,144575767
872,514,144575778
875,508,144575787
876,494,144575799
866,483,144575811
866,483,144575824
879,474,144575833
871,482,144575844
871,483,144575855
872,492,144575866
872,490,144575877
872,490,144575902
880,488,144575911
881,487,144575920
890,484,144575933
890,484,144575948
886,482,144575954
877,487,144575966
790,543,144575979
585,752,144575987
519,819,144576000
486,854,144576026
412,929,144576033
394,948,144576044
406,938,144576057
323,1025,144576067
321,1026,144576077
319,1023,144576088
320,1024,144576100
322,1025,144576111
324,1026,144576135
326,1025,144576144
326,1025,144576153
328,1025,144576166
330,1026,144576181
330,1027,144576187
328,1029,144576199
326,1031,144576212
326,1033,144576220
