X Gaze Data, Y Gaze Data, Time 
902,414,145494649
902,415,145494661
901,417,145494671
901,418,145494684
900,420,145494694
900,419,145494705
900,419,145494731
901,419,145494737
901,419,145494749
901,418,145494762
901,418,145494771
900,418,145494783
899,417,145494794
898,417,145494807
896,418,145494816
896,418,145494827
897,418,145494838
898,418,145494854
898,418,145494860
898,418,145494885
897,418,145494886
898,418,145494894
899,419,145494904
899,420,145494934
899,423,145494938
897,425,145494953
896,425,145494962
896,425,145494971
896,425,145495002
895,425,145495016
896,422,145495022
896,422,145495029
896,423,145495037
896,423,145495049
896,423,145495076
895,423,145495083
895,423,145495096
895,423,145495107
895,422,145495116
896,422,145495127
896,421,145495138
895,422,145495149
894,422,145495160
892,422,145495171
892,422,145495185
892,421,145495194
892,421,145495204
891,420,145495230
891,420,145495237
891,420,145495249
891,420,145495262
891,419,145495271
892,418,145495283
893,417,145495308
893,411,145495316
894,410,145495327
893,410,145495339
867,422,145495349
865,422,145495361
864,422,145495370
862,422,145495386
862,422,145495394
862,422,145495404
862,423,145495416
864,421,145495431
863,422,145495437
865,420,145495449
865,420,145495463
866,421,145495470
866,421,145495482
867,421,145495493
865,423,145495509
865,422,145495515
866,423,145495527
866,423,145495537
865,425,145495549
864,425,145495560
865,425,145495586
865,430,145495594
865,430,145495604
864,429,145495617
863,429,145495627
864,427,145495637
864,428,145495664
865,428,145495670
866,427,145495682
866,427,145495694
867,426,145495704
867,425,145495715
866,425,145495727
866,426,145495742
865,427,145495749
864,428,145495760
864,428,145495770
864,429,145495782
864,429,145495793
863,429,145495804
864,429,145495816
864,429,145495827
864,428,145495837
864,428,145495849
865,427,145495860
864,427,145495870
863,427,145495897
863,427,145495903
865,427,145495915
865,427,145495927
865,426,145495937
865,426,145495948
865,426,145495960
866,426,145495970
866,427,145495982
866,427,145495993
866,427,145496006
866,430,145496015
866,431,145496027
866,434,145496037
866,434,145496052
865,434,145496060
865,434,145496070
865,434,145496082
864,434,145496093
863,434,145496103
862,434,145496115
862,434,145496131
862,434,145496137
862,434,145496148
864,435,145496163
865,435,145496170
865,435,145496182
865,435,145496194
864,435,145496203
865,435,145496215
865,435,145496226
865,434,145496242
864,434,145496249
864,434,145496260
864,434,145496272
864,435,145496282
864,435,145496293
865,435,145496318
865,434,145496326
866,435,145496337
867,436,145496349
867,435,145496359
867,435,145496370
866,434,145496382
866,434,145496395
866,435,145496403
867,437,145496415
866,438,145496426
866,437,145496441
866,437,145496448
866,438,145496460
867,438,145496470
867,439,145496482
867,438,145496493
867,438,145496503
867,438,145496519
868,439,145496526
869,440,145496537
869,440,145496549
869,440,145496560
869,440,145496570
868,439,145496596
867,439,145496603
866,439,145496615
865,440,145496627
866,441,145496636
866,443,145496648
868,443,145496659
868,443,145496670
868,443,145496682
868,443,145496693
868,443,145496705
868,442,145496715
868,442,145496726
869,443,145496752
869,442,145496759
869,442,145496770
868,442,145496781
868,442,145496797
868,442,145496803
867,440,145496814
867,440,145496828
867,442,145496836
865,444,145496848
864,444,145496860
864,443,145496870
864,443,145496881
866,443,145496893
866,442,145496905
867,443,145496915
868,443,145496926
867,444,145496936
867,444,145496948
867,444,145496959
867,443,145496983
865,443,145496993
863,444,145497003
862,444,145497015
862,443,145497029
862,444,145497036
861,444,145497048
862,443,145497060
862,443,145497070
863,443,145497081
863,443,145497094
863,443,145497102
864,444,145497115
