X Gaze Data, Y Gaze Data, Time 
938,535,144894771
937,535,144894797
936,536,144894804
935,536,144894815
934,536,144894828
934,536,144894837
934,537,144894849
935,538,144894859
936,538,144894873
936,538,144894882
936,538,144894892
701,743,144894919
673,766,144894926
658,782,144894937
648,791,144894949
639,800,144894959
638,802,144894971
637,804,144894997
639,801,144895004
639,804,144895016
638,807,144895027
637,808,144895038
636,807,144895049
635,808,144895074
634,809,144895082
632,809,144895092
628,810,144895120
621,805,144895126
620,805,144895152
622,804,144895160
622,804,144895171
622,805,144895182
621,806,144895198
621,809,144895204
630,813,144895218
636,817,144895225
657,814,144895237
663,813,144895248
666,813,144895260
670,812,144895271
720,803,144895282
730,799,144895308
733,802,144895315
732,799,144895325
732,800,144895337
733,802,144895354
733,802,144895364
734,804,144895370
735,805,144895385
737,804,144895392
736,805,144895403
737,803,144895415
736,803,144895425
736,803,144895437
735,807,144895448
734,807,144895461
735,806,144895470
733,807,144895482
734,806,144895507
946,624,144895515
1017,561,144895525
1046,529,144895539
1060,515,144895548
1074,503,144895559
1085,492,144895585
1084,494,144895592
1076,495,144895604
1076,496,144895616
1076,495,144895626
1076,495,144895637
1073,495,144895648
1075,495,144895662
1075,494,144895670
1077,491,144895682
1075,492,144895693
1070,489,144895704
1068,491,144895715
1064,494,144895740
1064,492,144895748
1063,494,144895759
1063,497,144895770
1063,498,144895781
1060,498,144895792
1058,498,144895804
1058,494,144895817
1062,487,144895825
1064,484,144895837
1065,482,144895863
1068,479,144895870
1067,482,144895882
1067,482,144895892
1066,482,144895904
1066,482,144895915
1066,484,144895940
1062,482,144895948
1063,484,144895959
1063,482,144895970
1061,481,144895986
1061,481,144895992
1057,478,144896004
1051,474,144896015
1043,467,144896025
1038,452,144896037
1033,437,144896062
1014,374,144896070
1012,369,144896082
997,316,144896092
997,313,144896104
996,310,144896115
997,311,144896140
998,306,144896148
997,306,144896158
997,305,144896170
995,306,144896182
995,305,144896192
995,306,144896204
996,306,144896215
998,307,144896225
997,307,144896237
996,306,144896249
996,306,144896258
997,306,144896270
995,306,144896281
978,299,144896296
919,281,144896303
902,276,144896315
890,273,144896327
875,269,144896337
865,268,144896348
858,267,144896358
830,259,144896374
829,259,144896381
829,259,144896392
828,259,144896406
829,258,144896415
830,257,144896425
833,254,144896437
833,254,144896451
833,254,144896458
834,254,144896470
835,252,144896482
834,252,144896492
834,251,144896503
834,250,144896515
832,248,144896525
832,249,144896537
832,247,144896548
831,247,144896558
830,247,144896570
830,247,144896581
829,249,144896592
829,250,144896607
829,251,144896614
830,253,144896625
831,251,144896636
832,249,144896648
832,249,144896658
832,249,144896670
832,250,144896685
832,250,144896691
832,250,144896703
832,250,144896714
832,252,144896725
831,252,144896736
831,253,144896748
830,254,144896758
831,252,144896770
834,248,144896781
833,250,144896791
832,250,144896803
831,250,144896814
831,250,144896840
831,245,144896848
831,245,144896858
831,246,144896870
832,247,144896881
832,247,144896891
831,248,144896917
831,248,144896925
831,248,144896936
831,249,144896949
831,250,144896958
829,250,144896970
828,248,144896981
827,248,144896995
830,250,144897003
828,249,144897014
829,250,144897027
938,425,144897036
943,436,144897048
946,449,144897058
949,456,144897074
953,463,144897081
957,469,144897091
957,469,144897105
957,468,144897114
954,471,144897125
954,471,144897152
954,470,144897158
954,471,144897170
954,471,144897183
954,471,144897191
954,472,144897203
956,474,144897230
959,476,144897236
960,475,144897248
959,475,144897258
959,475,144897269
960,475,144897280
961,475,144897292
