X Gaze Data, Y Gaze Data, Time 
701,462,143017399
699,462,143017407
698,462,143017419
699,462,143017430
699,463,143017447
702,461,143017453
705,458,143017464
704,460,143017474
702,461,143017486
703,461,143017497
703,459,143017509
703,460,143017519
702,462,143017530
703,462,143017542
712,460,143017553
712,460,143017563
710,459,143017590
704,457,143017597
704,457,143017607
704,456,143017649
703,458,143017667
702,461,143017685
707,462,143017691
707,460,143017698
706,460,143017716
704,461,143017726
705,462,143017732
704,462,143017741
702,463,143017752
698,464,143017764
694,458,143017774
693,457,143017785
694,457,143017811
696,453,143017819
696,453,143017830
696,455,143017842
701,465,143017852
700,464,143017863
701,468,143017889
696,470,143017897
696,470,143017907
699,469,143017919
702,473,143017930
701,473,143017940
700,473,143017952
699,471,143017963
699,470,143017973
699,469,143017985
698,468,143018011
699,462,143018019
698,462,143018030
695,462,143018042
693,462,143018052
695,462,143018063
696,462,143018073
700,463,143018089
700,463,143018097
701,463,143018107
704,462,143018120
741,448,143018130
808,417,143018141
917,380,143018167
965,362,143018174
993,351,143018185
1009,345,143018197
1063,327,143018207
1094,318,143018218
1094,318,143018231
1096,317,143018240
1097,318,143018252
1099,316,143018263
1097,316,143018277
1097,317,143018285
1097,318,143018297
1097,318,143018307
1098,318,143018323
1097,319,143018330
1097,318,143018340
1097,318,143018352
1100,317,143018363
1100,317,143018373
1100,316,143018386
1099,313,143018397
1101,307,143018407
1100,307,143018432
1090,317,143018440
1067,328,143018452
988,368,143018478
936,403,143018486
929,407,143018497
923,411,143018510
917,420,143018519
910,427,143018530
912,432,143018542
910,429,143018552
913,428,143018563
913,428,143018588
912,428,143018589
914,427,143018596
912,429,143018619
908,432,143018630
907,434,143018640
903,436,143018667
902,438,143018673
904,438,143018685
903,438,143018698
901,439,143018706
899,440,143018718
897,440,143018745
882,441,143018755
876,437,143018776
876,436,143018785
868,437,143018797
867,436,143018806
862,440,143018823
862,444,143018829
862,446,143018855
865,449,143018863
864,447,143018874
893,463,143018887
910,473,143018896
917,478,143018906
901,470,143018935
885,460,143018940
880,456,143018965
879,452,143018966
877,450,143018973
869,446,143018984
866,446,143019011
865,446,143019018
867,446,143019029
868,446,143019041
868,446,143019051
865,446,143019063
865,446,143019088
866,443,143019096
866,443,143019106
866,442,143019119
867,444,143019129
867,444,143019139
868,449,143019164
867,449,143019172
867,447,143019184
867,448,143019210
867,450,143019211
863,466,143019218
861,473,143019229
860,471,143019239
860,461,143019251
862,458,143019262
862,457,143019273
864,455,143019284
864,455,143019296
867,458,143019306
879,463,143019322
879,463,143019329
878,462,143019339
876,461,143019351
876,461,143019362
876,460,143019372
866,460,143019385
866,457,143019399
864,455,143019406
863,448,143019418
862,448,143019430
861,448,143019439
861,448,143019451
861,447,143019476
862,447,143019484
865,447,143019496
869,450,143019507
871,451,143019518
870,451,143019529
870,451,143019553
871,453,143019562
871,453,143019572
871,457,143019584
870,458,143019599
868,457,143019605
868,457,143019617
868,456,143019630
868,456,143019639
868,456,143019651
868,456,143019662
868,455,143019672
868,455,143019684
869,454,143019695
869,456,143019708
873,471,143019717
873,471,143019729
573,471,143019739
573,472,143019751
572,471,143019762
572,468,143019772
568,457,143019785
567,456,143019795
567,456,143019805
566,457,143019833
567,457,143019839
567,454,143019851
566,456,143019864
566,456,143019872
567,459,143019884
569,453,143019910
571,453,143019917
572,453,143019929
572,453,143019941
573,454,143019950
574,452,143019962
574,452,143019973
