X Gaze Data, Y Gaze Data, Time 
654,-44,1259628195
652,-40,1259628204
652,-39,1259628215
653,-39,1259628227
655,-38,1259628237
656,-38,1259628249
655,-38,1259628260
656,-39,1259628275
668,-39,1259628282
677,-38,1259628294
686,-41,1259628306
690,-42,1259628316
692,-44,1259628327
695,-44,1259628338
697,-45,1259628349
696,-46,1259628361
696,-48,1259628371
695,-49,1259628385
695,-50,1259628393
694,-51,1259628404
695,-54,1259628416
694,-54,1259628426
694,-55,1259628438
693,-55,1259628449
692,-57,1259628462
689,-58,1259628471
689,-58,1259628482
689,-58,1259628496
689,-60,1259628504
688,-60,1259628516
687,-60,1259628544
686,-63,1259628549
688,-63,1259628575
688,-62,1259628582
690,-62,1259628594
691,-62,1259628606
692,-64,1259628616
692,-65,1259628627
692,-65,1259628638
692,-62,1259628649
692,-62,1259628660
692,-58,1259628686
694,-58,1259628693
696,-56,1259628718
697,-53,1259628727
697,-53,1259628737
698,-51,1259628749
696,-47,1259628760
695,-45,1259628770
694,-44,1259628797
690,-44,1259628804
691,-44,1259628815
690,-45,1259628829
690,-45,1259628837
690,-45,1259628848
689,-45,1259628860
688,-44,1259628870
688,-44,1259628882
688,-44,1259628908
690,-39,1259628915
709,10,1259628926
725,52,1259628939
730,68,1259628949
734,79,1259628960
749,121,1259628974
754,137,1259628986
760,151,1259628993
784,213,1259629018
803,254,1259629026
804,251,1259629037
803,251,1259629050
801,252,1259629060
800,253,1259629070
801,254,1259629081
802,253,1259629096
801,253,1259629103
800,253,1259629115
802,251,1259629128
806,251,1259629137
804,251,1259629148
807,251,1259629175
807,251,1259629182
809,250,1259629193
809,251,1259629207
810,250,1259629215
804,255,1259629226
804,255,1259629238
804,255,1259629248
805,253,1259629260
806,250,1259629270
806,250,1259629286
807,250,1259629293
807,250,1259629318
807,254,1259629326
807,258,1259629337
807,258,1259629349
807,254,1259629359
807,253,1259629370
807,252,1259629397
807,251,1259629403
807,251,1259629429
804,250,1259629437
804,250,1259629448
805,252,1259629460
806,254,1259629470
806,255,1259629481
804,253,1259629507
802,256,1259629515
802,257,1259629526
799,257,1259629538
798,257,1259629548
798,257,1259629560
798,259,1259629585
798,257,1259629593
799,258,1259629603
798,259,1259629615
798,261,1259629626
797,261,1259629637
799,262,1259629648
800,266,1259629662
800,267,1259629670
799,264,1259629682
799,264,1259629693
800,263,1259629703
801,260,1259629714
802,260,1259629741
803,258,1259629748
803,257,1259629759
807,250,1259629773
819,232,1259629781
844,191,1259629793
854,176,1259629805
856,172,1259629815
859,168,1259629826
863,163,1259629852
875,142,1259629859
876,141,1259629884
877,145,1259629892
876,144,1259629903
876,144,1259629916
876,144,1259629926
876,144,1259629937
875,143,1259629964
872,141,1259629970
872,141,1259629996
877,141,1259630003
877,142,1259630015
878,144,1259630027
877,145,1259630036
879,144,1259630048
882,146,1259630059
882,146,1259630075
881,146,1259630081
881,145,1259630108
884,143,1259630115
886,142,1259630126
887,146,1259630139
889,146,1259630148
889,146,1259630159
889,146,1259630185
889,144,1259630192
889,143,1259630216
872,165,1259630226
861,183,1259630237
857,193,1259630248
855,200,1259630264
854,203,1259630270
854,205,1259630281
854,207,1259630296
855,207,1259630303
854,207,1259630314
855,207,1259630327
854,206,1259630336
855,205,1259630348
858,204,1259630374
858,204,1259630381
850,210,1259630392
848,211,1259630406
847,212,1259630414
851,208,1259630425
852,207,1259630436
852,206,1259630447
854,205,1259630459
861,201,1259630484
861,198,1259630492
861,198,1259630503
857,200,1259630516
857,201,1259630525
857,201,1259630536
857,200,1259630548
858,200,1259630559
859,198,1259630569
860,197,1259630596
861,197,1259630602
859,197,1259630614
859,196,1259630628
858,192,1259630636
858,192,1259630648
862,196,1259630659
862,197,1259630675
862,200,1259630680
861,199,1259630707
858,198,1259630714
858,199,1259630725
857,201,1259630738
858,202,1259630747
858,204,1259630759
858,204,1259630770
858,204,1259630781
857,202,1259630792
