X Gaze Data, Y Gaze Data, Time 
760,107,1259731032
760,106,1259731043
761,106,1259731069
758,103,1259731076
758,103,1259731088
757,107,1259731100
757,106,1259731109
756,107,1259731121
756,108,1259731132
752,91,1259731143
740,52,1259731154
723,10,1259731180
714,-15,1259731188
711,-23,1259731198
706,-31,1259731211
702,-38,1259731221
693,-53,1259731231
692,-54,1259731256
694,-51,1259731264
695,-50,1259731275
694,-52,1259731288
696,-52,1259731297
696,-52,1259731309
694,-58,1259731336
690,-58,1259731342
689,-57,1259731367
689,-55,1259731376
693,-55,1259731387
693,-56,1259731412
694,-54,1259731421
693,-53,1259731431
692,-52,1259731444
693,-53,1259731454
693,-52,1259731464
693,-52,1259731490
695,-51,1259731497
697,-50,1259731509
695,-50,1259731521
695,-50,1259731531
696,-49,1259731542
696,-49,1259731568
696,-47,1259731576
696,-47,1259731587
696,-47,1259731599
699,-48,1259731609
699,-49,1259731620
699,-49,1259731645
698,-49,1259731654
698,-47,1259731664
697,-46,1259731677
695,-44,1259731687
696,-45,1259731697
696,-44,1259731709
697,-44,1259731724
697,-43,1259731731
698,-41,1259731742
699,-40,1259731755
699,-38,1259731764
700,-38,1259731776
741,-52,1259731802
773,-60,1259731809
774,-60,1259731820
777,-59,1259731833
775,-54,1259731842
775,-53,1259731853
775,-48,1259731865
768,-41,1259731876
768,-42,1259731887
768,-44,1259731897
767,-41,1259731913
766,-42,1259731920
765,-43,1259731944
765,-46,1259731953
765,-47,1259731964
765,-47,1259731976
767,-47,1259731989
767,-47,1259731997
767,-48,1259732009
768,-48,1259732021
769,-48,1259732030
771,-48,1259732042
771,-48,1259732068
769,-45,1259732075
769,-44,1259732086
770,-44,1259732100
770,-43,1259732109
770,-44,1259732120
770,-43,1259732131
684,109,1259732142
560,323,1259732153
557,328,1259732164
555,334,1259732178
553,339,1259732186
551,343,1259732197
549,347,1259732224
552,355,1259732231
552,352,1259732242
554,349,1259732255
555,349,1259732264
555,350,1259732275
556,348,1259732287
557,347,1259732303
558,351,1259732309
560,352,1259732335
561,355,1259732342
560,358,1259732353
560,360,1259732367
563,359,1259732376
564,356,1259732386
564,356,1259732399
563,356,1259732409
561,356,1259732420
559,355,1259732431
558,354,1259732442
557,356,1259732453
556,359,1259732464
555,360,1259732478
554,360,1259732486
554,361,1259732497
554,361,1259732509
557,361,1259732520
560,361,1259732530
561,364,1259732557
562,362,1259732564
567,357,1259732575
584,359,1259732589
619,353,1259732597
687,337,1259732608
722,328,1259732621
783,313,1259732630
813,306,1259732641
845,297,1259732668
947,269,1259732675
947,269,1259732686
940,270,1259732700
940,274,1259732708
941,275,1259732720
943,276,1259732732
940,274,1259732742
921,258,1259732753
860,197,1259732778
778,83,1259732786
753,48,1259732797
731,18,1259732810
716,0,1259732820
703,-20,1259732830
699,-28,1259732842
699,-30,1259732853
699,-31,1259732863
698,-31,1259732889
697,-33,1259732896
697,-33,1259732908
695,-32,1259732935
695,-32,1259732942
694,-32,1259732966
696,-32,1259732975
696,-33,1259732986
693,-34,1259732998
693,-34,1259733008
693,-34,1259733020
693,-33,1259733045
692,-32,1259733053
692,-32,1259733063
692,-32,1259733077
692,-32,1259733086
693,-31,1259733097
695,-31,1259733108
696,-31,1259733124
697,-30,1259733129
697,-31,1259733156
697,-31,1259733163
698,-29,1259733175
698,-28,1259733187
698,-25,1259733196
699,-30,1259733208
699,-27,1259733234
786,62,1259733242
813,91,1259733253
819,97,1259733266
822,100,1259733274
826,104,1259733286
836,115,1259733298
841,122,1259733308
851,134,1259733319
854,144,1259733330
856,142,1259733341
858,140,1259733352
858,140,1259733363
857,139,1259733377
857,139,1259733386
857,139,1259733396
856,137,1259733408
857,135,1259733424
855,130,1259733429
855,130,1259733456
855,131,1259733463
859,135,1259733474
861,136,1259733488
859,138,1259733496
858,141,1259733508
858,142,1259733535
857,142,1259733541
857,144,1259733552
857,144,1259733566
855,146,1259733575
855,146,1259733586
854,147,1259733598
854,149,1259733608
854,150,1259733619
854,150,1259733629
