X Gaze Data, Y Gaze Data, Time 
763,418,1258846344
762,416,1258846355
762,416,1258846382
762,416,1258846389
766,419,1258846414
763,419,1258846422
764,419,1258846433
763,419,1258846446
769,417,1258846456
769,417,1258846467
769,418,1258846493
765,416,1258846500
765,416,1258846511
767,423,1258846524
776,459,1258846533
791,514,1258846544
799,536,1258846556
811,568,1258846567
820,598,1258846577
826,616,1258846603
841,660,1258846610
843,666,1258846622
843,665,1258846633
841,665,1258846644
838,665,1258846656
837,665,1258846681
836,666,1258846689
830,672,1258846700
816,678,1258846713
782,691,1258846722
716,724,1258846733
706,727,1258846745
700,729,1258846755
695,731,1258846766
692,732,1258846777
678,737,1258846789
674,738,1258846799
671,737,1258846810
669,740,1258846824
669,740,1258846833
670,741,1258846844
673,741,1258846871
677,739,1258846877
677,739,1258846902
678,742,1258846910
678,743,1258846922
676,743,1258846934
677,744,1258846944
677,745,1258846956
676,745,1258846982
672,746,1258846989
674,743,1258847014
673,745,1258847022
672,745,1258847034
671,745,1258847046
671,743,1258847055
669,743,1258847066
659,743,1258847077
657,743,1258847095
661,743,1258847100
665,743,1258847126
662,744,1258847133
662,744,1258847144
660,746,1258847155
665,744,1258847167
669,745,1258847177
669,746,1258847189
671,749,1258847204
672,750,1258847211
669,748,1258847222
667,745,1258847235
673,702,1258847244
693,509,1258847255
696,476,1258847281
699,439,1258847288
701,412,1258847299
702,386,1258847313
713,261,1258847321
713,260,1258847333
707,260,1258847343
708,259,1258847355
708,258,1258847366
706,258,1258847377
701,258,1258847388
700,258,1258847399
700,258,1258847424
701,256,1258847433
701,256,1258847443
702,255,1258847456
702,256,1258847466
706,259,1258847476
714,262,1258847502
789,290,1258847510
808,293,1258847522
829,296,1258847534
839,299,1258847543
854,302,1258847555
869,306,1258847566
907,313,1258847577
915,323,1258847588
915,325,1258847614
920,318,1258847621
917,315,1258847632
916,314,1258847645
918,313,1258847654
919,312,1258847666
919,311,1258847677
918,312,1258847688
916,311,1258847699
915,311,1258847724
915,311,1258847725
916,315,1258847732
917,317,1258847744
918,317,1258847754
919,317,1258847766
918,319,1258847776
918,319,1258847788
921,321,1258847799
927,321,1258847810
936,320,1258847835
957,316,1258847843
968,315,1258847855
976,316,1258847866
984,315,1258847876
999,312,1258847888
999,312,1258847914
998,313,1258847921
999,317,1258847932
998,317,1258847945
1000,318,1258847955
1001,320,1258847965
1000,319,1258847977
1001,321,1258847988
1002,321,1258847999
1001,316,1258848026
1002,315,1258848032
1002,317,1258848043
1000,323,1258848057
999,324,1258848065
998,324,1258848076
1000,328,1258848088
999,327,1258848099
1000,328,1258848110
999,328,1258848135
998,327,1258848136
996,326,1258848142
993,325,1258848154
992,325,1258848166
992,319,1258848176
993,319,1258848188
995,319,1258848198
995,322,1258848209
994,324,1258848221
994,324,1258848231
994,324,1258848245
994,324,1258848254
994,325,1258848265
994,326,1258848277
994,330,1258848287
994,329,1258848299
994,329,1258848324
993,329,1258848325
992,327,1258848331
990,325,1258848343
990,324,1258848356
988,324,1258848365
988,324,1258848376
988,324,1258848388
990,331,1258848398
990,332,1258848409
992,333,1258848436
995,336,1258848443
995,337,1258848468
996,338,1258848476
993,340,1258848488
992,340,1258848500
991,340,1258848509
994,338,1258848521
993,337,1258848532
994,336,1258848542
996,334,1258848554
996,335,1258848580
1000,335,1258848587
1000,336,1258848598
1002,337,1258848612
1001,336,1258848620
1001,337,1258848632
1002,337,1258848644
1002,336,1258848653
1004,335,1258848665
1007,330,1258848691
1007,330,1258848698
1008,330,1258848723
1011,330,1258848724
1010,329,1258848732
1001,330,1258848742
998,330,1258848755
997,331,1258848765
997,333,1258848776
996,333,1258848802
998,333,1258848809
1001,334,1258848821
1004,334,1258848834
1005,338,1258848842
1003,340,1258848854
1003,340,1258848866
1003,341,1258848876
1003,340,1258848887
1003,337,1258848912
1007,335,1258848920
