X Gaze Data, Y Gaze Data, Time 
1332,289,1258988404
1334,294,1258988413
1335,295,1258988424
1336,294,1258988450
1329,295,1258988457
1330,296,1258988469
1328,299,1258988481
1325,296,1258988491
1257,305,1258988502
1111,324,1258988528
877,343,1258988535
872,343,1258988546
870,343,1258988560
856,344,1258988569
843,345,1258988580
827,346,1258988592
824,346,1258988602
823,346,1258988613
819,350,1258988624
818,351,1258988639
818,352,1258988646
818,353,1258988671
822,350,1258988680
824,348,1258988690
824,348,1258988702
826,351,1258988713
826,350,1258988724
864,296,1258988749
877,281,1258988757
883,274,1258988768
889,269,1258988781
900,255,1258988790
904,250,1258988802
905,250,1258988813
908,255,1258988823
908,256,1258988835
908,256,1258988861
907,256,1258988868
907,257,1258988880
908,258,1258988893
909,260,1258988902
910,260,1258988913
909,261,1258988925
909,262,1258988935
907,262,1258988946
906,262,1258988957
906,262,1258988973
906,262,1258988980
908,260,1258988990
912,255,1258989005
912,255,1258989014
912,255,1258989024
911,255,1258989035
912,255,1258989046
912,255,1258989056
912,254,1258989084
910,256,1258989090
909,256,1258989116
912,256,1258989123
914,256,1258989135
913,255,1258989148
913,255,1258989157
912,256,1258989168
912,256,1258989180
912,257,1258989190
913,258,1258989202
912,258,1258989228
910,258,1258989235
909,264,1258989246
908,264,1258989257
908,268,1258989268
908,267,1258989279
908,267,1258989290
912,263,1258989301
912,262,1258989313
908,260,1258989324
904,255,1258989335
895,243,1258989346
890,233,1258989371
885,201,1258989379
885,200,1258989390
885,199,1258989403
885,196,1258989413
885,198,1258989423
886,198,1258989435
885,198,1258989446
885,197,1258989456
885,198,1258989482
880,209,1258989490
881,208,1258989501
880,211,1258989514
880,213,1258989523
880,209,1258989535
882,200,1258989546
883,199,1258989556
884,198,1258989568
884,198,1258989594
886,198,1258989601
886,200,1258989613
887,196,1258989623
887,198,1258989635
887,200,1258989646
887,203,1258989656
886,206,1258989668
885,206,1258989679
885,206,1258989690
885,206,1258989701
887,205,1258989712
886,205,1258989736
888,205,1258989746
888,207,1258989756
889,206,1258989783
886,206,1258989790
886,206,1258989801
883,206,1258989815
883,206,1258989823
883,207,1258989835
884,208,1258989846
885,208,1258989856
885,208,1258989868
885,207,1258989879
885,208,1258989892
886,208,1258989901
886,209,1258989912
884,208,1258989923
880,207,1258989934
870,202,1258989945
859,195,1258989956
857,193,1258989970
854,188,1258989979
852,186,1258989989
849,184,1258990002
848,182,1258990013
847,180,1258990023
847,178,1258990050
841,176,1258990056
839,175,1258990081
840,174,1258990089
841,174,1258990101
841,173,1258990112
842,173,1258990128
843,174,1258990134
845,178,1258990160
848,180,1258990168
847,180,1258990179
845,181,1258990192
844,180,1258990201
845,182,1258990212
848,182,1258990223
849,180,1258990234
849,180,1258990245
849,180,1258990271
849,182,1258990278
848,182,1258990289
849,183,1258990303
850,185,1258990312
859,194,1258990323
884,198,1258990350
911,198,1258990356
918,199,1258990381
929,199,1258990389
965,200,1258990401
965,200,1258990413
969,198,1258990423
968,198,1258990434
968,197,1258990461
969,197,1258990468
968,197,1258990492
968,199,1258990501
968,202,1258990512
968,203,1258990523
967,204,1258990534
965,204,1258990545
966,202,1258990570
995,186,1258990579
1007,183,1258990589
1007,183,1258990602
1010,183,1258990612
1010,183,1258990622
1014,181,1258990634
1012,183,1258990645
1011,184,1258990656
1012,185,1258990681
1012,183,1258990689
1012,181,1258990701
1012,182,1258990713
1012,182,1258990722
1012,181,1258990734
1011,183,1258990760
1006,188,1258990767
1005,188,1258990778
1005,188,1258990792
1004,191,1258990800
1003,192,1258990812
1003,192,1258990822
1003,192,1258990834
1003,192,1258990845
1005,194,1258990856
1007,195,1258990867
1006,194,1258990878
1006,194,1258990904
1006,194,1258990912
990,196,1258990922
957,190,1258990936
941,187,1258990945
927,188,1258990955
919,188,1258990968
913,188,1258990978
908,188,1258990989
880,188,1258991015
