X Gaze Data, Y Gaze Data, Time 
761,-66,1259541987
763,-67,1259541998
765,-68,1259542009
765,-68,1259542020
765,-69,1259542031
763,-68,1259542042
762,-68,1259542056
762,-68,1259542064
760,-66,1259542075
761,-65,1259542087
761,-65,1259542098
761,-65,1259542109
760,-65,1259542135
759,-62,1259542142
759,-62,1259542154
758,-59,1259542167
758,-58,1259542175
757,-57,1259542187
756,-57,1259542198
753,-55,1259542213
754,-53,1259542220
752,-25,1259542231
749,62,1259542244
748,115,1259542253
745,186,1259542265
745,206,1259542276
745,224,1259542287
745,241,1259542298
744,252,1259542323
741,258,1259542331
740,259,1259542341
739,262,1259542354
740,262,1259542364
743,268,1259542375
744,270,1259542402
738,267,1259542408
740,269,1259542420
735,275,1259542431
734,277,1259542441
735,276,1259542453
737,273,1259542480
736,277,1259542487
735,278,1259542511
733,277,1259542520
733,276,1259542531
733,274,1259542543
733,274,1259542553
749,269,1259542564
756,270,1259542575
756,270,1259542591
751,270,1259542598
749,269,1259542623
746,268,1259542631
746,268,1259542641
746,267,1259542653
744,269,1259542664
740,269,1259542674
741,268,1259542702
739,268,1259542708
738,269,1259542733
740,277,1259542741
744,275,1259542753
808,253,1259542778
820,250,1259542786
841,248,1259542797
846,248,1259542809
853,247,1259542819
866,240,1259542831
868,239,1259542841
868,244,1259542857
868,244,1259542864
869,246,1259542888
870,246,1259542897
870,246,1259542908
866,245,1259542935
864,244,1259542941
863,244,1259542953
864,242,1259542967
864,242,1259542974
864,240,1259542986
865,242,1259542997
870,246,1259543008
870,246,1259543019
870,246,1259543045
872,246,1259543052
871,242,1259543064
871,242,1259543077
870,242,1259543086
870,243,1259543097
870,244,1259543109
870,247,1259543119
870,246,1259543130
869,247,1259543141
797,291,1259543153
793,293,1259543164
785,298,1259543190
781,301,1259543197
780,301,1259543208
777,302,1259543221
777,300,1259543230
779,300,1259543241
777,301,1259543252
776,303,1259543268
775,303,1259543274
776,302,1259543300
778,294,1259543307
777,292,1259543319
777,291,1259543331
775,290,1259543341
777,291,1259543353
775,292,1259543379
774,297,1259543386
773,300,1259543411
778,304,1259543419
778,303,1259543430
778,303,1259543443
777,301,1259543452
779,300,1259543463
779,302,1259543474
778,302,1259543485
778,304,1259543497
778,302,1259543522
774,306,1259543530
773,307,1259543541
774,309,1259543553
776,315,1259543563
777,317,1259543574
777,316,1259543601
780,312,1259543607
780,310,1259543633
782,308,1259543640
780,307,1259543652
777,306,1259543664
776,306,1259543674
777,306,1259543685
778,307,1259543712
781,308,1259543719
782,310,1259543744
783,313,1259543752
784,312,1259543763
784,312,1259543776
786,315,1259543785
786,315,1259543797
784,315,1259543807
783,314,1259543823
783,315,1259543830
783,316,1259543840
783,317,1259543854
780,319,1259543863
779,319,1259543874
778,319,1259543900
776,319,1259543907
776,319,1259543919
777,320,1259543931
781,316,1259543940
781,315,1259543952
781,309,1259543963
781,307,1259543977
780,306,1259543985
781,307,1259543997
778,307,1259544008
777,310,1259544019
778,309,1259544030
778,308,1259544040
778,308,1259544052
778,309,1259544063
778,309,1259544088
779,309,1259544097
784,311,1259544107
783,319,1259544118
783,318,1259544130
784,318,1259544140
783,318,1259544166
784,311,1259544174
785,311,1259544185
786,312,1259544198
786,312,1259544207
787,310,1259544219
788,310,1259544245
789,310,1259544252
790,302,1259544263
790,301,1259544277
790,302,1259544285
791,305,1259544296
791,306,1259544309
790,303,1259544318
789,305,1259544330
789,306,1259544340
794,312,1259544352
795,313,1259544363
795,313,1259544388
792,313,1259544396
792,314,1259544407
792,313,1259544420
792,313,1259544429
791,311,1259544440
792,310,1259544452
793,308,1259544463
796,306,1259544473
797,305,1259544500
794,310,1259544507
793,311,1259544518
792,313,1259544532
790,311,1259544540
790,312,1259544552
785,312,1259544579
786,312,1259544585
785,311,1259544597
785,311,1259544609
782,316,1259544618
