X Gaze Data, Y Gaze Data, Time 
926,540,144361684
925,540,144361693
916,541,144361720
874,543,144361727
874,543,144361738
873,544,144361765
867,555,144361771
849,594,144361783
847,598,144361793
852,586,144361804
866,562,144361818
867,561,144361827
867,561,144361841
869,555,144361851
870,554,144361860
868,557,144361873
873,546,144361891
872,546,144361905
868,552,144361921
874,542,144361927
874,541,144361939
875,540,144361967
870,540,144361971
870,540,144361998
871,548,144362005
871,549,144362017
870,552,144362030
869,548,144362038
868,546,144362050
869,543,144362061
873,539,144362071
873,540,144362084
874,539,144362108
871,542,144362116
869,543,144362126
870,543,144362138
866,546,144362150
880,546,144362160
884,546,144362170
873,549,144362184
870,550,144362193
872,549,144362204
867,540,144362231
866,540,144362237
869,540,144362250
866,536,144362262
869,532,144362271
872,530,144362283
858,553,144362293
846,577,144362304
855,550,144362317
858,539,144362326
858,535,144362337
865,516,144362350
866,512,144362360
874,487,144362370
879,470,144362386
882,465,144362393
891,438,144362417
892,444,144362427
893,443,144362437
893,444,144362464
928,450,144362470
935,451,144362483
937,450,144362496
937,450,144362504
942,451,144362516
943,451,144362527
943,451,144362537
944,451,144362550
935,446,144362560
929,443,144362570
919,439,144362583
911,441,144362593
907,442,144362606
894,440,144362616
908,440,144362626
916,439,144362637
917,440,144362652
941,477,144362660
948,487,144362670
951,486,144362684
942,477,144362693
936,470,144362704
941,466,144362716
943,465,144362730
944,465,144362737
941,465,144362750
920,462,144362760
911,462,144362770
900,463,144362783
900,464,144362793
900,464,144362808
902,461,144362816
902,461,144362826
902,461,144362837
900,463,144362849
896,466,144362860
895,467,144362870
898,464,144362885
902,465,144362893
904,465,144362903
905,471,144362932
905,474,144362937
903,476,144362963
900,487,144362970
905,488,144362983
905,487,144362995
905,487,144363004
903,490,144363016
901,493,144363027
901,493,144363037
898,493,144363049
900,488,144363060
902,486,144363074
899,488,144363083
899,488,144363093
898,488,144363105
887,495,144363116
886,496,144363126
886,495,144363151
897,490,144363159
897,489,144363170
901,483,144363183
901,483,144363192
898,483,144363203
906,477,144363216
908,476,144363229
908,478,144363237
907,478,144363249
907,477,144363259
906,477,144363270
905,477,144363283
902,477,144363292
895,478,144363306
894,478,144363316
895,478,144363325
904,475,144363352
901,476,144363359
902,476,144363370
907,475,144363383
898,488,144363392
900,485,144363404
878,509,144363415
869,517,144363429
861,526,144363437
867,522,144363449
871,520,144363474
869,521,144363482
868,522,144363493
865,517,144363506
861,512,144363516
861,511,144363526
861,511,144363537
880,498,144363549
880,497,144363559
879,497,144363570
879,486,144363585
879,484,144363592
878,482,144363603
871,490,144363630
871,491,144363636
873,490,144363649
878,492,144363661
879,493,144363670
879,501,144363682
879,504,144363692
878,506,144363704
842,488,144363716
842,488,144363725
845,490,144363752
849,498,144363759
865,503,144363770
859,496,144363784
864,495,144363792
858,493,144363804
841,492,144363830
845,495,144363836
846,493,144363849
851,493,144363861
851,493,144363870
854,502,144363882
851,504,144363907
843,530,144363917
844,531,144363925
845,530,144363942
849,529,144363955
849,530,144363958
852,528,144363986
864,516,144363995
874,511,144364003
875,509,144364017
875,507,144364025
882,503,144364036
885,498,144364063
884,497,144364070
855,514,144364082
852,516,144364094
852,512,144364103
861,481,144364115
863,475,144364125
869,480,144364141
872,480,144364148
873,480,144364158
871,477,144364171
893,476,144364182
894,475,144364192
885,472,144364218
896,484,144364225
895,485,144364236
