X Gaze Data, Y Gaze Data, Time 
733,794,146425694
735,794,146425703
735,791,146425713
736,791,146425725
739,789,146425737
738,790,146425747
738,790,146425772
740,780,146425780
740,780,146425790
739,781,146425818
736,785,146425823
736,785,146425846
736,784,146425862
742,784,146425869
787,720,146425882
790,715,146425894
807,709,146425908
809,709,146425929
807,697,146425944
809,699,146425947
809,697,146425976
815,682,146425981
816,681,146426001
815,682,146426007
809,697,146426014
809,699,146426038
812,698,146426047
812,694,146426057
813,694,146426070
812,693,146426080
812,693,146426090
812,691,146426103
812,687,146426116
811,683,146426123
811,682,146426136
811,681,146426147
811,682,146426157
811,683,146426170
812,684,146426195
812,684,146426202
814,686,146426213
818,685,146426226
818,686,146426236
818,686,146426247
818,687,146426258
818,689,146426272
818,688,146426280
1050,563,146426304
1203,447,146426314
1222,433,146426323
1242,417,146426350
1271,394,146426357
1273,392,146426370
1261,407,146426380
1283,381,146426390
1283,380,146426403
1283,379,146426413
1284,380,146426423
1282,382,146426436
1280,381,146426447
1280,380,146426457
1279,379,146426473
1279,378,146426480
1279,378,146426490
1278,375,146426503
1278,376,146426513
1147,444,146426523
840,622,146426550
811,641,146426556
798,650,146426569
791,657,146426580
782,664,146426589
781,670,146426602
780,676,146426613
780,677,146426627
784,677,146426636
783,680,146426646
784,680,146426656
784,680,146426672
784,681,146426679
784,681,146426704
774,698,146426713
773,700,146426723
775,698,146426751
777,695,146426756
777,693,146426769
780,690,146426782
780,690,146426789
779,686,146426803
780,687,146426813
735,722,146426828
573,843,146426836
568,847,146426846
564,850,146426856
555,856,146426869
551,860,146426880
547,862,146426889
547,864,146426903
545,873,146426913
545,873,146426937
550,873,146426946
552,871,146426956
553,871,146426969
555,871,146426984
558,873,146426989
559,874,146427002
557,873,146427015
557,873,146427022
558,873,146427036
563,871,146427061
654,823,146427069
712,784,146427079
953,603,146427091
1069,516,146427102
1117,481,146427113
1169,441,146427137
1258,376,146427146
1294,350,146427157
1298,348,146427170
1298,351,146427180
1299,351,146427190
1300,351,146427202
1300,348,146427215
1300,346,146427223
1300,345,146427235
1301,344,146427261
1301,341,146427272
1300,341,146427281
1299,340,146427292
1299,342,146427302
1299,343,146427313
1299,345,146427323
1299,347,146427335
1298,350,146427346
1296,349,146427355
1295,348,146427370
1296,349,146427379
1176,421,146427389
915,621,146427402
862,702,146427415
859,705,146427423
857,707,146427436
855,707,146427446
852,711,146427456
853,727,146427469
859,750,146427493
857,751,146427502
853,762,146427512
854,766,146427525
857,759,146427535
861,771,146427545
869,770,146427571
873,768,146427579
875,766,146427590
872,767,146427602
872,767,146427617
872,768,146427623
873,767,146427636
888,757,146427646
911,725,146427656
918,725,146427669
961,667,146427679
1108,525,146427695
1196,442,146427701
1283,352,146427713
1337,292,146427726
1443,183,146427735
1456,170,146427746
1475,152,146427757
1479,148,146427769
1479,144,146427779
1476,141,146427802
1474,139,146427812
1475,140,146427822
1475,136,146427849
1475,136,146427856
1465,136,146427869
1466,136,146427881
1459,143,146427889
1442,158,146427902
1419,181,146427912
1415,187,146427928
1412,190,146427935
1408,196,146427945
1406,197,146427956
1407,201,146427969
1407,202,146427979
1407,203,146427989
1396,219,146428002
1401,213,146428012
1015,579,146428023
800,796,146428035
783,816,146428046
776,824,146428056
772,829,146428068
765,836,146428082
751,850,146428106
731,876,146428112
727,880,146428128
721,885,146428135
725,878,146428145
725,879,146428158
726,881,146428169
726,884,146428179
724,885,146428190
723,886,146428201
723,886,146428212
718,885,146428235
717,885,146428245
716,878,146428256
