X Gaze Data, Y Gaze Data, Time 
962,404,145267440
960,405,145267447
957,408,145267458
957,408,145267471
958,405,145267480
958,405,145267492
958,405,145267503
963,406,145267516
962,406,145267525
963,406,145267536
962,406,145267547
963,406,145267558
963,406,145267570
963,404,145267580
963,405,145267595
963,404,145267603
962,404,145267613
963,404,145267626
962,402,145267637
962,403,145267647
961,399,145267674
961,398,145267680
961,398,145267692
962,404,145267722
961,404,145267747
960,402,145267756
959,401,145267762
959,401,145267770
959,400,145267792
959,400,145267806
959,399,145267809
958,397,145267818
957,397,145267825
957,396,145267836
957,395,145267847
957,394,145267858
956,393,145267870
952,391,145267880
952,391,145267893
952,390,145267903
953,389,145267913
953,389,145267924
953,392,145267936
953,393,145267946
955,393,145267958
955,395,145267971
955,395,145267980
955,395,145267991
956,395,145268017
956,395,145268024
956,396,145268036
956,396,145268048
956,396,145268058
956,395,145268069
955,395,145268080
955,395,145268094
954,395,145268103
953,400,145268113
953,400,145268125
952,400,145268136
952,398,145268147
952,398,145268172
952,396,145268180
952,395,145268191
952,394,145268218
954,393,145268224
954,394,145268236
955,395,145268250
956,398,145268258
956,398,145268269
955,397,145268281
956,397,145268291
957,397,145268303
958,396,145268313
957,395,145268324
957,394,145268336
957,395,145268346
957,395,145268357
957,395,145268369
956,393,145268380
956,392,145268391
956,392,145268407
957,390,145268413
957,390,145268424
957,389,145268438
957,389,145268446
959,392,145268461
958,393,145268472
958,393,145268480
957,393,145268511
957,392,145268523
957,392,145268524
960,390,145268536
959,390,145268547
959,390,145268558
959,389,145268569
959,390,145268579
958,390,145268595
957,391,145268602
955,391,145268627
952,389,145268635
952,389,145268646
952,390,145268658
951,390,145268669
951,390,145268679
950,389,145268691
949,389,145268705
949,388,145268712
950,388,145268725
951,388,145268737
951,391,145268750
951,392,145268758
949,391,145268783
949,391,145268791
950,391,145268803
950,391,145268815
949,391,145268824
948,391,145268835
948,390,145268861
949,390,145268868
950,393,145268879
950,391,145268890
950,392,145268906
951,393,145268912
951,391,145268938
950,390,145268946
950,390,145268958
950,389,145268970
949,388,145268979
949,388,145268991
949,388,145269002
949,389,145269012
948,389,145269024
948,390,145269035
947,391,145269045
948,392,145269057
949,392,145269068
950,391,145269080
950,390,145269091
950,390,145269102
951,390,145269112
951,388,145269126
951,389,145269135
951,389,145269146
951,388,145269173
951,388,145269179
949,388,145269191
948,388,145269203
947,389,145269213
947,391,145269225
945,395,145269235
943,395,145269246
906,389,145269258
898,388,145269269
895,388,145269279
894,388,145269291
889,388,145269302
886,387,145269312
880,386,145269326
878,387,145269335
878,388,145269345
880,388,145269357
880,388,145269372
881,388,145269379
881,388,145269391
881,388,145269404
881,388,145269412
881,389,145269424
880,389,145269435
876,390,145269451
873,392,145269458
873,392,145269468
873,393,145269479
874,393,145269491
874,393,145269502
874,393,145269515
875,392,145269524
876,392,145269535
876,392,145269546
878,391,145269558
877,392,145269569
877,392,145269579
877,394,145269591
876,394,145269606
875,395,145269612
874,396,145269624
874,396,145269635
874,396,145269645
875,396,145269657
876,396,145269669
876,395,145269679
875,394,145269691
875,394,145269702
875,394,145269712
874,394,145269724
872,397,145269735
872,397,145269746
871,396,145269758
871,397,145269768
868,409,145269779
862,436,145269794
860,446,145269802
852,488,145269812
850,496,145269825
849,502,145269835
847,502,145269846
846,512,145269857
846,512,145269871
846,511,145269879
846,512,145269890
