X Gaze Data, Y Gaze Data, Time 
834,24,1260175734
836,23,1260175745
838,24,1260175772
838,26,1260175779
837,26,1260175790
837,26,1260175804
837,26,1260175813
838,25,1260175823
839,25,1260175836
839,25,1260175846
838,24,1260175857
836,22,1260175868
836,21,1260175879
835,21,1260175890
837,20,1260175916
846,23,1260175923
846,28,1260175948
828,337,1260175956
829,342,1260175967
830,346,1260175980
830,355,1260175990
830,360,1260176000
829,374,1260176012
832,381,1260176023
837,387,1260176034
837,388,1260176060
839,386,1260176067
838,386,1260176079
838,386,1260176092
837,386,1260176100
835,386,1260176112
832,386,1260176139
830,386,1260176146
826,388,1260176157
825,387,1260176170
825,387,1260176179
826,384,1260176190
826,383,1260176200
825,384,1260176215
825,384,1260176223
825,384,1260176234
825,384,1260176246
825,385,1260176257
825,385,1260176280
826,385,1260176290
827,386,1260176300
828,387,1260176327
828,390,1260176333
829,390,1260176358
829,392,1260176367
829,393,1260176378
830,395,1260176390
830,395,1260176400
829,395,1260176412
829,391,1260176437
828,391,1260176445
827,390,1260176456
826,389,1260176468
824,387,1260176478
822,385,1260176489
820,385,1260176500
820,386,1260176516
818,386,1260176523
818,386,1260176533
816,387,1260176547
817,386,1260176556
818,388,1260176567
830,389,1260176579
847,390,1260176589
858,390,1260176600
864,390,1260176627
887,386,1260176633
888,386,1260176645
899,385,1260176659
900,386,1260176666
900,385,1260176678
900,384,1260176691
900,383,1260176700
898,384,1260176711
896,383,1260176723
895,383,1260176733
894,383,1260176745
894,382,1260176770
892,383,1260176778
890,385,1260176790
889,385,1260176802
888,381,1260176812
888,381,1260176823
887,381,1260176833
890,380,1260176845
891,379,1260176856
892,381,1260176866
894,385,1260176879
896,385,1260176889
897,385,1260176900
896,385,1260176911
896,388,1260176923
896,390,1260176933
897,391,1260176944
896,390,1260176958
897,392,1260176966
896,392,1260176978
896,392,1260176990
894,388,1260176999
895,390,1260177011
895,389,1260177038
896,389,1260177045
898,390,1260177070
898,390,1260177078
898,389,1260177089
898,390,1260177103
900,390,1260177111
900,395,1260177123
900,397,1260177135
900,396,1260177144
900,397,1260177156
901,398,1260177180
903,401,1260177181
905,403,1260177189
906,404,1260177200
912,409,1260177227
925,422,1260177233
922,421,1260177245
921,422,1260177257
925,422,1260177266
923,421,1260177278
923,419,1260177304
924,419,1260177305
922,419,1260177311
921,420,1260177323
921,418,1260177335
923,416,1260177344
924,416,1260177356
926,417,1260177366
924,418,1260177377
924,416,1260177389
924,416,1260177399
924,415,1260177413
926,415,1260177422
926,415,1260177433
928,413,1260177445
928,413,1260177456
928,413,1260177466
927,417,1260177478
927,417,1260177492
928,418,1260177500
929,419,1260177511
929,420,1260177524
928,420,1260177533
929,421,1260177544
929,420,1260177556
929,419,1260177566
929,419,1260177577
931,423,1260177604
929,420,1260177611
929,420,1260177622
929,420,1260177635
929,421,1260177644
927,423,1260177656
925,423,1260177667
924,426,1260177678
923,427,1260177689
924,425,1260177713
928,424,1260177722
928,425,1260177732
929,424,1260177759
929,423,1260177766
929,424,1260177791
927,430,1260177799
925,431,1260177811
925,429,1260177822
926,428,1260177833
926,428,1260177844
927,429,1260177855
927,429,1260177869
927,430,1260177878
934,430,1260177889
934,430,1260177901
934,430,1260177911
933,432,1260177922
932,433,1260177948
930,432,1260177955
933,431,1260177966
934,430,1260177979
934,431,1260177989
934,431,1260177999
932,432,1260178011
930,431,1260178022
929,431,1260178032
928,430,1260178059
923,427,1260178065
922,426,1260178091
922,423,1260178099
924,425,1260178110
925,425,1260178122
925,425,1260178132
924,427,1260178144
925,428,1260178170
924,429,1260178178
922,428,1260178189
920,427,1260178202
919,427,1260178211
920,429,1260178222
920,429,1260178234
920,429,1260178244
921,424,1260178255
921,424,1260178266
921,424,1260178278
924,423,1260178289
924,423,1260178314
