X Gaze Data, Y Gaze Data, Time 
835,661,146355023
835,665,146355036
835,669,146355044
829,699,146355056
830,692,146355068
829,696,146355076
828,676,146355089
828,672,146355100
824,669,146355110
822,673,146355122
821,677,146355147
851,667,146355155
857,664,146355166
839,674,146355179
840,671,146355189
840,671,146355201
838,673,146355210
839,656,146355225
839,655,146355236
838,651,146355251
833,649,146355258
830,646,146355266
830,645,146355277
836,641,146355306
839,641,146355309
845,645,146355338
845,645,146355343
845,644,146355356
844,645,146355369
845,646,146355376
845,647,146355389
845,647,146355400
844,649,146355409
840,661,146355422
840,663,146355446
839,666,146355456
835,668,146355466
833,670,146355477
830,670,146355488
830,670,146355499
833,668,146355510
832,668,146355524
833,671,146355533
829,673,146355542
834,692,146355555
834,684,146355570
835,678,146355576
840,659,146355589
840,657,146355599
824,663,146355610
818,672,146355622
834,688,146355633
892,676,146355647
1003,706,146355656
1179,750,146355666
1447,819,146355678
1443,815,146355689
1438,813,146355700
1477,822,146355725
1703,872,146355733
1737,873,146355744
1732,872,146355756
1728,872,146355772
1722,871,146355777
1726,869,146355789
1719,871,146355802
1707,865,146355810
1630,833,146355822
1593,819,146355834
1542,799,146355843
1345,721,146355856
1215,669,146355880
986,576,146355889
965,563,146355899
860,509,146355911
795,477,146355922
796,475,146355932
799,480,146355942
802,476,146355956
802,476,146355965
802,476,146355976
793,483,146356003
685,550,146356009
465,609,146356022
399,624,146356034
371,630,146356042
323,641,146356054
308,643,146356065
295,645,146356081
303,668,146356088
299,649,146356098
299,651,146356112
296,643,146356122
302,642,146356132
302,640,146356143
304,640,146356154
304,641,146356165
304,641,146356189
307,646,146356199
307,646,146356209
307,644,146356222
303,650,146356236
300,653,146356242
305,651,146356255
305,653,146356267
355,649,146356275
406,644,146356288
677,597,146356314
1014,496,146356322
1123,463,146356332
1198,441,146356346
1301,410,146356356
1368,386,146356366
1384,381,146356376
1389,379,146356389
1387,383,146356399
1386,384,146356410
1374,392,146356422
1370,396,146356432
1369,396,146356442
1368,397,146356455
1368,396,146356471
1368,395,146356475
1369,394,146356503
1369,396,146356508
1369,396,146356521
1372,395,146356533
1369,396,146356541
1371,399,146356554
1359,401,146356580
1223,508,146356581
897,778,146356588
726,929,146356598
720,934,146356611
714,940,146356621
704,948,146356632
706,949,146356642
705,949,146356657
709,944,146356665
706,944,146356676
703,940,146356703
700,936,146356708
698,937,146356721
692,939,146356735
698,945,146356742
691,946,146356755
699,940,146356766
700,929,146356775
698,927,146356788
697,901,146356798
689,892,146356811
690,882,146356821
690,880,146356831
691,871,146356843
684,873,146356855
685,869,146356864
685,866,146356875
689,873,146356889
687,875,146356898
689,872,146356908
689,871,146356921
691,869,146356935
691,869,146356942
691,870,146356953
695,868,146356966
696,867,146356975
696,867,146356988
696,867,146356998
696,867,146357012
702,868,146357021
706,890,146357031
706,891,146357044
704,890,146357054
702,892,146357065
680,879,146357076
675,875,146357088
674,875,146357098
675,872,146357108
675,872,146357136
674,871,146357142
674,872,146357155
674,872,146357166
673,874,146357175
672,875,146357188
672,875,146357213
672,875,146357221
691,871,146357231
755,796,146357244
811,732,146357254
1240,316,146357265
1260,297,146357275
1279,279,146357286
1295,260,146357298
1308,246,146357322
1353,199,146357331
1362,193,146357341
1364,193,146357368
1366,196,146357376
1377,201,146357388
1382,203,146357399
1365,197,146357408
1364,196,146357421
1369,201,146357431
1369,201,146357442
1369,201,146357454
1382,206,146357464
1311,244,146357474
1013,450,146357488
984,471,146357498
935,508,146357523
