X Gaze Data, Y Gaze Data, Time 
787,333,1260718930
787,332,1260718941
787,331,1260718952
788,331,1260718963
788,332,1260718989
786,333,1260718996
784,332,1260719007
786,334,1260719020
808,350,1260719030
842,379,1260719040
860,393,1260719053
866,397,1260719063
871,401,1260719074
875,404,1260719085
879,409,1260719098
882,412,1260719107
880,414,1260719119
879,416,1260719130
881,416,1260719140
882,416,1260719152
885,412,1260719163
885,412,1260719176
885,414,1260719185
889,416,1260719196
889,415,1260719223
890,414,1260719230
890,415,1260719255
888,418,1260719263
887,420,1260719275
887,421,1260719285
887,421,1260719296
892,420,1260719307
892,420,1260719335
893,418,1260719340
894,418,1260719367
901,415,1260719373
902,415,1260719385
902,419,1260719398
902,419,1260719406
902,419,1260719419
901,419,1260719429
901,418,1260719445
901,418,1260719452
899,417,1260719463
898,420,1260719476
897,421,1260719485
897,418,1260719496
899,416,1260719508
900,416,1260719518
900,416,1260719529
902,420,1260719541
901,424,1260719552
902,427,1260719562
900,427,1260719589
899,428,1260719596
898,429,1260719606
895,431,1260719619
890,431,1260719629
884,432,1260719639
878,432,1260719652
872,432,1260719663
871,431,1260719673
865,431,1260719685
863,429,1260719697
862,428,1260719706
863,426,1260719718
863,423,1260719729
863,422,1260719745
864,418,1260719751
864,420,1260719777
863,423,1260719785
863,426,1260719796
862,427,1260719809
860,427,1260719818
858,432,1260719829
857,432,1260719841
858,433,1260719852
859,434,1260719862
863,431,1260719873
863,430,1260719885
861,427,1260719895
860,425,1260719906
857,420,1260719921
857,420,1260719929
857,420,1260719940
859,421,1260719951
861,422,1260719962
860,422,1260719973
873,425,1260719985
879,426,1260719996
881,427,1260720006
887,429,1260720018
891,430,1260720030
891,429,1260720039
893,428,1260720051
893,428,1260720077
894,425,1260720085
895,426,1260720095
898,430,1260720109
899,430,1260720118
895,430,1260720129
895,430,1260720154
894,429,1260720162
894,430,1260720173
891,431,1260720186
891,428,1260720196
891,428,1260720206
891,429,1260720234
893,426,1260720239
893,425,1260720265
892,425,1260720273
894,430,1260720284
893,428,1260720296
894,428,1260720306
893,428,1260720318
893,427,1260720343
894,429,1260720351
894,430,1260720362
894,431,1260720372
893,431,1260720384
893,431,1260720395
891,431,1260720406
888,430,1260720422
889,430,1260720429
889,429,1260720454
891,420,1260720462
890,420,1260720472
890,420,1260720486
890,423,1260720495
890,429,1260720506
889,430,1260720533
890,428,1260720539
895,427,1260720551
895,428,1260720564
895,428,1260720572
894,429,1260720584
893,433,1260720595
892,438,1260720610
894,441,1260720618
894,441,1260720628
894,439,1260720641
894,439,1260720651
892,439,1260720662
892,437,1260720673
892,433,1260720684
892,430,1260720695
893,430,1260720720
891,429,1260720728
889,429,1260720739
888,430,1260720753
888,431,1260720762
888,431,1260720772
888,430,1260720800
889,429,1260720806
889,429,1260720818
889,429,1260720832
888,427,1260720839
888,427,1260720851
887,428,1260720862
887,428,1260720877
887,428,1260720884
888,429,1260720895
890,429,1260720909
891,432,1260720918
895,433,1260720928
899,434,1260720939
897,433,1260720951
898,433,1260720962
896,433,1260720972
892,437,1260720989
890,442,1260720995
890,444,1260721020
890,446,1260721028
887,444,1260721039
889,444,1260721067
887,446,1260721072
885,445,1260721084
885,444,1260721098
884,441,1260721105
885,439,1260721117
885,438,1260721128
887,436,1260721139
887,435,1260721150
888,437,1260721161
887,438,1260721175
887,441,1260721184
887,441,1260721195
889,440,1260721206
889,439,1260721217
889,438,1260721228
889,438,1260721254
889,439,1260721261
889,439,1260721272
889,438,1260721285
889,437,1260721295
887,436,1260721305
887,436,1260721332
889,440,1260721338
891,441,1260721350
893,441,1260721363
896,440,1260721372
894,441,1260721384
890,434,1260721395
886,428,1260721405
885,427,1260721417
885,426,1260721442
885,424,1260721450
890,427,1260721461
891,428,1260721473
889,428,1260721483
